truck_strategy,break_width,num_firetruck,max_speed,wind_dir,steps_to_extinguishment,placed_on_edges,Number_of_steps_to_ExtinguishFire,Number_of_extinguished_firecell,Number_of_burned_out_cell,Number_of_cells_on_fire,Maximum_growthrate_firecell_perstep,Maximum_extinguishedrate_firecell_perstep,Count_healthy_trees,Count_unhealthy_trees,Percentage_damaged_burnedtrees
Goes to the biggest fire,0,10,15,↗ North/East,6,0,67.0,211.9090909090909,2186.0,2397.909090909091,25.90909090909091,8.818181818181818,4002.181818181818,2397.818181818182,29.972727272727273
Goes to the biggest fire,0,10,15,↗ North/East,6,1,72.81818181818181,277.09090909090907,2270.6363636363635,2547.7272727272725,28.09090909090909,9.181818181818182,3853.818181818182,2546.181818181818,31.827272727272724
Goes to the biggest fire,0,10,15,↘ South/East,1,0,6.0,5.636363636363637,1.0,6.636363636363637,3.5454545454545454,4.909090909090909,6397.454545454545,2.5454545454545454,0.031818181818181815
Goes to the biggest fire,0,10,15,↘ South/East,1,1,6.0,18.181818181818183,1.0,19.181818181818183,7.090909090909091,15.636363636363637,6387.909090909091,12.090909090909092,0.15113636363636365
Goes to the biggest fire,0,10,15,↘ South/East,2,0,6.0,11.636363636363637,1.0,12.636363636363637,5.454545454545454,8.636363636363637,6393.454545454545,6.545454545454546,0.08181818181818182
Goes to the biggest fire,0,10,15,↘ South/East,2,1,6.363636363636363,24.818181818181817,1.0,25.818181818181817,6.636363636363637,13.909090909090908,6383.363636363636,16.636363636363637,0.20795454545454548
Goes to the biggest fire,0,10,15,↘ South/East,6,0,75.54545454545455,281.27272727272725,2223.909090909091,2505.181818181818,27.818181818181817,9.181818181818182,3896.818181818182,2503.181818181818,31.289772727272727
Goes to the biggest fire,0,10,15,↘ South/East,6,1,82.36363636363636,290.8181818181818,2589.2727272727275,2880.090909090909,27.818181818181817,9.545454545454545,3521.2727272727275,2878.7272727272725,35.98409090909091
Goes to the biggest fire,0,10,15,↙ South/West,1,0,6.0,3.5454545454545454,1.0,4.545454545454546,2.4545454545454546,2.3636363636363638,6398.818181818182,1.1818181818181819,0.014772727272727272
Goes to the biggest fire,0,10,15,↙ South/West,1,1,6.0,19.818181818181817,1.0,20.818181818181817,7.7272727272727275,19.454545454545453,6387.0,13.0,0.1625
Goes to the biggest fire,0,10,15,↙ South/West,2,0,6.0,6.909090909090909,1.0,7.909090909090909,3.5454545454545454,4.909090909090909,6396.727272727273,3.272727272727273,0.04090909090909091
Goes to the biggest fire,0,10,15,↙ South/West,2,1,6.181818181818182,23.636363636363637,1.0,24.636363636363637,7.181818181818182,14.272727272727273,6384.272727272727,15.727272727272727,0.1965909090909091
Goes to the biggest fire,0,10,15,↙ South/West,6,0,89.9090909090909,374.27272727272725,2645.5454545454545,3019.818181818182,30.09090909090909,9.727272727272727,3380.909090909091,3019.090909090909,37.73863636363637
Goes to the biggest fire,0,10,15,↙ South/West,6,1,84.18181818181819,310.09090909090907,2673.5454545454545,2983.6363636363635,28.454545454545453,9.727272727272727,3417.4545454545455,2982.5454545454545,37.28181818181818
Goes to the biggest fire,0,10,20,↖ North/West,1,0,6.0,4.636363636363637,1.0,5.636363636363637,3.3636363636363638,3.8181818181818183,6398.545454545455,1.4545454545454546,0.018181818181818184
Goes to the biggest fire,0,10,20,↖ North/West,1,1,6.0,11.818181818181818,1.0,12.818181818181818,5.545454545454546,11.545454545454545,6393.0,7.0,0.08750000000000001
Goes to the biggest fire,0,10,20,↖ North/West,2,0,6.0,5.545454545454546,1.0,6.545454545454546,3.272727272727273,4.0,6398.0,2.0,0.025
Goes to the biggest fire,0,10,20,↖ North/West,2,1,6.0,15.181818181818182,1.0,16.181818181818183,6.181818181818182,12.545454545454545,6390.909090909091,9.090909090909092,0.11363636363636363
Goes to the biggest fire,0,10,20,↖ North/West,6,0,67.45454545454545,234.0909090909091,2016.0,2250.090909090909,22.727272727272727,8.545454545454545,4151.909090909091,2248.090909090909,28.101136363636364
Goes to the biggest fire,0,10,20,↖ North/West,6,1,69.45454545454545,250.1818181818182,2013.1818181818182,2263.3636363636365,22.09090909090909,8.909090909090908,4139.0,2261.0,28.2625
Goes to the biggest fire,0,10,20,↗ North/East,1,0,6.0,3.8181818181818183,1.0,4.818181818181818,2.8181818181818183,2.8181818181818183,6399.0,1.0,0.0125
Goes to the biggest fire,0,10,20,↗ North/East,1,1,6.0,10.545454545454545,1.0,11.545454545454545,5.090909090909091,10.363636363636363,6393.727272727273,6.2727272727272725,0.07840909090909091
Goes to the biggest fire,0,10,20,↗ North/East,2,0,6.0,3.8181818181818183,1.0,4.818181818181818,2.4545454545454546,3.0,6398.363636363636,1.6363636363636365,0.020454545454545454
Goes to the biggest fire,0,10,20,↗ North/East,2,1,6.0,15.090909090909092,1.0,16.09090909090909,6.0,12.727272727272727,6390.818181818182,9.181818181818182,0.11477272727272726
