truck_strategy,break_width,num_firetruck,max_speed,wind_dir,steps_to_extinguishment,placed_on_edges,Number_of_steps_to_ExtinguishFire,Number_of_extinguished_firecell,Number_of_burned_out_cell,Number_of_cells_on_fire,Maximum_growthrate_firecell_perstep,Maximum_extinguishedrate_firecell_perstep,Count_healthy_trees,Count_unhealthy_trees,Percentage_damaged_burnedtrees
Goes to the closest fire,0,10,15,↘ South/East,1,0,6.0,5.2727272727272725,1.0,6.2727272727272725,3.090909090909091,3.5454545454545454,6398.454545454545,1.5454545454545454,0.01931818181818182
Goes to the closest fire,0,10,15,↘ South/East,1,1,6.0,17.272727272727273,1.0,18.272727272727273,6.2727272727272725,14.272727272727273,6389.090909090909,10.909090909090908,0.13636363636363635
Goes to the closest fire,0,10,15,↘ South/East,2,0,6.0,6.818181818181818,1.0,7.818181818181818,3.272727272727273,4.2727272727272725,6396.727272727273,3.272727272727273,0.04090909090909091
Goes to the closest fire,0,10,15,↘ South/East,2,1,6.2727272727272725,25.272727272727273,1.0,26.272727272727273,6.909090909090909,13.636363636363637,6382.818181818182,17.181818181818183,0.2147727272727273
Goes to the closest fire,0,10,15,↘ South/East,6,0,72.72727272727273,276.90909090909093,2272.6363636363635,2549.5454545454545,27.363636363636363,9.0,3852.090909090909,2547.909090909091,31.848863636363635
Goes to the closest fire,0,10,15,↘ South/East,6,1,79.9090909090909,277.09090909090907,2513.181818181818,2790.2727272727275,28.818181818181817,9.545454545454545,3609.909090909091,2790.090909090909,34.87613636363636
Goes to the closest fire,0,10,15,↙ South/West,1,0,6.0,4.454545454545454,1.0,5.454545454545454,2.6363636363636362,3.0,6398.090909090909,1.9090909090909092,0.023863636363636365
Goes to the closest fire,0,10,15,↙ South/West,1,1,6.0,21.272727272727273,1.0,22.272727272727273,8.090909090909092,20.727272727272727,6386.090909090909,13.909090909090908,0.17386363636363636
Goes to the closest fire,0,10,15,↙ South/West,2,0,6.0,6.909090909090909,1.0,7.909090909090909,3.909090909090909,5.2727272727272725,6397.0,3.0,0.0375
Goes to the closest fire,0,10,15,↙ South/West,2,1,6.090909090909091,26.818181818181817,1.0,27.818181818181817,8.090909090909092,15.090909090909092,6382.363636363636,17.636363636363637,0.2204545454545455
Goes to the closest fire,0,10,15,↙ South/West,6,0,75.54545454545455,318.27272727272725,2442.7272727272725,2761.0,29.181818181818183,9.727272727272727,3640.0,2760.0,34.5
Goes to the closest fire,0,10,15,↙ South/West,6,1,86.81818181818181,334.27272727272725,2662.6363636363635,2996.909090909091,28.363636363636363,9.454545454545455,3405.0,2995.0,37.4375
Goes to the closest fire,0,10,20,↖ North/West,1,0,6.0,4.545454545454546,1.0,5.545454545454546,2.909090909090909,3.6363636363636362,6398.272727272727,1.7272727272727273,0.02159090909090909
Goes to the closest fire,0,10,20,↖ North/West,1,1,6.0,12.636363636363637,1.0,13.636363636363637,5.818181818181818,12.545454545454545,6392.090909090909,7.909090909090909,0.09886363636363636
Goes to the closest fire,0,10,20,↖ North/West,2,0,6.0,4.7272727272727275,1.0,5.7272727272727275,2.6363636363636362,3.0,6398.454545454545,1.5454545454545454,0.01931818181818182
Goes to the closest fire,0,10,20,↖ North/West,2,1,6.0,13.727272727272727,1.0,14.727272727272727,5.181818181818182,10.636363636363637,6391.454545454545,8.545454545454545,0.10681818181818183
Goes to the closest fire,0,10,20,↖ North/West,6,0,57.72727272727273,219.1818181818182,1725.0,1944.1818181818182,23.0,8.272727272727273,4458.181818181818,1941.8181818181818,24.272727272727273
