truck_strategy,break_width,num_firetruck,max_speed,wind_dir,steps_to_extinguish_1_cell,placed_on_edges,Number_of_steps_to_ExtinguishFire,Number_of_extinguished_firecell,Number_of_burned_out_cell,Number_of_cells_on_fire,Maximum_growthrate_firecell_perstep,Maximum_extinguishedrate_firecell_perstep,Count_healthy_trees,Count_unhealthy_trees,Percentage_damaged_burnedtrees
Parallel attack,0,10,15,↘ South/East,1,0,6.0,6.818181818181818,1.0,7.818181818181818,3.909090909090909,5.090909090909091,6397.181818181818,2.8181818181818183,0.035227272727272725
Parallel attack,0,10,15,↘ South/East,1,1,6.0,16.636363636363637,1.0,17.636363636363637,5.818181818181818,14.181818181818182,6388.909090909091,11.090909090909092,0.13863636363636364
Parallel attack,0,10,15,↘ South/East,2,0,6.0,7.454545454545454,1.0,8.454545454545455,3.909090909090909,5.636363636363637,6396.454545454545,3.5454545454545454,0.04431818181818182
Parallel attack,0,10,15,↘ South/East,2,1,6.0,21.0,1.0,22.0,7.363636363636363,14.363636363636363,6386.090909090909,13.909090909090908,0.17386363636363636
Parallel attack,0,10,15,↘ South/East,6,0,70.36363636363636,165.1818181818182,2101.909090909091,2267.090909090909,24.272727272727273,7.7272727272727275,4135.272727272727,2264.7272727272725,28.30909090909091
Parallel attack,0,10,15,↘ South/East,6,1,89.0909090909091,213.0,2778.3636363636365,2991.3636363636365,28.272727272727273,8.272727272727273,3411.818181818182,2988.181818181818,37.35227272727273
Parallel attack,0,10,15,↙ South/West,1,0,6.0,4.090909090909091,1.0,5.090909090909091,2.5454545454545454,2.727272727272727,6398.636363636364,1.3636363636363635,0.017045454545454544
Parallel attack,0,10,15,↙ South/West,1,1,6.0,23.454545454545453,1.0,24.454545454545453,9.363636363636363,23.272727272727273,6385.090909090909,14.909090909090908,0.1863636363636364
Parallel attack,0,10,15,↙ South/West,2,0,6.0,6.636363636363637,1.0,7.636363636363637,3.6363636363636362,4.363636363636363,6397.0,3.0,0.037500000000000006
Parallel attack,0,10,15,↙ South/West,2,1,6.0,24.454545454545453,1.0,25.454545454545453,8.090909090909092,15.636363636363637,6383.727272727273,16.272727272727273,0.2034090909090909
Parallel attack,0,10,15,↙ South/West,6,0,53.81818181818182,166.1818181818182,1568.0,1734.1818181818182,18.272727272727273,7.090909090909091,4667.272727272727,1732.7272727272727,21.65909090909091
Parallel attack,0,10,15,↙ South/West,6,1,74.81818181818181,207.0909090909091,2536.3636363636365,2743.4545454545455,26.545454545454547,8.818181818181818,3657.181818181818,2742.818181818182,34.28522727272727
Parallel attack,0,10,20,↖ North/West,1,0,6.0,4.2727272727272725,1.0,5.2727272727272725,3.0,3.727272727272727,6398.272727272727,1.7272727272727273,0.02159090909090909
Parallel attack,0,10,20,↖ North/West,1,1,6.0,12.181818181818182,1.0,13.181818181818182,5.363636363636363,11.727272727272727,6392.363636363636,7.636363636363637,0.09545454545454546
Parallel attack,0,10,20,↖ North/West,2,0,6.0,7.454545454545454,1.0,8.454545454545455,4.090909090909091,6.090909090909091,6396.454545454545,3.5454545454545454,0.04431818181818182
Parallel attack,0,10,20,↖ North/West,2,1,6.0,14.818181818181818,1.0,15.818181818181818,6.7272727272727275,12.454545454545455,6391.454545454545,8.545454545454545,0.10681818181818183
Parallel attack,0,10,20,↖ North/West,6,0,65.0,186.54545454545453,2004.909090909091,2191.4545454545455,21.545454545454547,7.454545454545454,4210.636363636364,2189.3636363636365,27.36704545454546
Parallel attack,0,10,20,↖ North/West,6,1,72.45454545454545,189.0,2420.5454545454545,2609.5454545454545,25.181818181818183,8.272727272727273,3793.181818181818,2606.818181818182,32.58522727272727
Parallel attack,0,10,20,↗ North/East,1,0,6.0,4.363636363636363,1.0,5.363636363636363,2.8181818181818183,3.1818181818181817,6398.545454545455,1.4545454545454546,0.018181818181818184
Parallel attack,0,10,20,↗ North/East,1,1,6.0,12.909090909090908,1.0,13.909090909090908,6.090909090909091,12.727272727272727,6392.363636363636,7.636363636363637,0.09545454545454546
Parallel attack,0,10,20,↗ North/East,2,0,6.0,5.2727272727272725,1.0,6.2727272727272725,3.090909090909091,4.181818181818182,6397.636363636364,2.3636363636363638,0.029545454545454545
