truck_strategy,break_width,num_firetruck,max_speed,wind_dir,steps_to_extinguishment,placed_on_edges,Number_of_steps_to_ExtinguishFire,Number_of_extinguished_firecell,Number_of_burned_out_cell,Number_of_cells_on_fire,Maximum_growthrate_firecell_perstep,Maximum_extinguishedrate_firecell_perstep,Count_healthy_trees,Count_unhealthy_trees,Percentage_damaged_burnedtrees
Optimized closest,0,10,20,↖ North/West,1,1,6.0,12.363636363636363,1.0,13.363636363636363,5.545454545454546,11.909090909090908,6392.636363636364,7.363636363636363,0.09204545454545454
Optimized closest,0,10,20,↖ North/West,2,0,6.0,4.636363636363637,1.0,5.636363636363637,2.909090909090909,3.8181818181818183,6398.0,2.0,0.025
Optimized closest,0,10,20,↖ North/West,2,1,6.0,13.545454545454545,1.0,14.545454545454545,5.818181818181818,12.545454545454545,6391.727272727273,8.272727272727273,0.10340909090909091
Optimized closest,0,10,20,↖ North/West,6,0,60.18181818181818,147.0,1932.8181818181818,2079.818181818182,20.363636363636363,7.2727272727272725,4321.545454545455,2078.4545454545455,25.98068181818182
Optimized closest,0,10,20,↖ North/West,6,1,75.9090909090909,176.72727272727272,2428.909090909091,2605.6363636363635,25.818181818181817,10.545454545454545,3794.818181818182,2605.181818181818,32.564772727272725
Optimized closest,0,10,20,↗ North/East,1,0,6.0,3.6363636363636362,1.0,4.636363636363637,2.4545454545454546,2.6363636363636362,6398.818181818182,1.1818181818181819,0.014772727272727272
Optimized closest,0,10,20,↗ North/East,1,1,6.0,12.0,1.0,13.0,5.636363636363637,11.909090909090908,6392.636363636364,7.363636363636363,0.09204545454545454
Optimized closest,0,10,20,↗ North/East,2,0,6.0,4.7272727272727275,1.0,5.7272727272727275,2.909090909090909,3.4545454545454546,6398.181818181818,1.8181818181818181,0.022727272727272728
Optimized closest,0,10,20,↗ North/East,2,1,6.0,12.909090909090908,1.0,13.909090909090908,5.363636363636363,11.090909090909092,6392.272727272727,7.7272727272727275,0.09659090909090909
Optimized closest,0,10,20,↗ North/East,6,0,77.45454545454545,183.63636363636363,2431.090909090909,2614.7272727272725,23.818181818181817,8.454545454545455,3786.818181818182,2613.181818181818,32.66477272727273
Optimized closest,0,10,20,↗ North/East,6,1,66.27272727272727,162.36363636363637,2053.2727272727275,2215.6363636363635,23.454545454545453,8.727272727272727,4186.0,2214.0,27.675
Optimized closest,0,10,20,↘ South/East,1,0,6.0,3.8181818181818183,1.0,4.818181818181818,2.6363636363636362,2.727272727272727,6398.727272727273,1.2727272727272727,0.01590909090909091
Optimized closest,0,10,20,↘ South/East,1,1,6.0,13.272727272727273,1.0,14.272727272727273,6.363636363636363,13.090909090909092,6392.272727272727,7.7272727272727275,0.09659090909090909
Optimized closest,0,10,20,↘ South/East,2,0,6.0,4.363636363636363,1.0,5.363636363636363,2.909090909090909,3.272727272727273,6398.636363636364,1.3636363636363635,0.017045454545454544
Optimized closest,0,10,20,↘ South/East,2,1,6.0,16.272727272727273,1.0,17.272727272727273,6.454545454545454,13.181818181818182,6390.363636363636,9.636363636363637,0.12045454545454545
Optimized closest,0,10,20,↘ South/East,6,0,74.72727272727273,192.27272727272728,2356.4545454545455,2548.7272727272725,24.454545454545453,8.363636363636363,3852.818181818182,2547.181818181818,31.839772727272727
Optimized closest,0,10,20,↘ South/East,6,1,78.0909090909091,182.36363636363637,2603.090909090909,2785.4545454545455,25.727272727272727,9.818181818181818,3615.7272727272725,2784.2727272727275,34.80340909090909
Optimized closest,0,10,20,↙ South/West,1,0,6.0,3.1818181818181817,1.0,4.181818181818182,2.4545454545454546,2.4545454545454546,6399.0,1.0,0.0125
Optimized closest,0,10,20,↙ South/West,1,1,6.0,12.727272727272727,1.0,13.727272727272727,6.090909090909091,12.454545454545455,6392.363636363636,7.636363636363637,0.09545454545454546
Optimized closest,0,10,20,↙ South/West,2,0,6.0,4.363636363636363,1.0,5.363636363636363,2.5454545454545454,2.909090909090909,6398.272727272727,1.7272727272727273,0.02159090909090909
Optimized closest,0,10,20,↙ South/West,2,1,6.0,12.363636363636363,1.0,13.363636363636363,6.0,11.272727272727273,6393.0,7.0,0.08750000000000001
Optimized closest,0,10,20,↙ South/West,6,0,75.0909090909091,170.54545454545453,2361.6363636363635,2532.181818181818,23.636363636363637,8.181818181818182,3870.090909090909,2529.909090909091,31.623863636363637
Optimized closest,0,10,20,↙ South/West,6,1,80.0,179.27272727272728,2668.4545454545455,2847.7272727272725,27.0,9.363636363636363,3554.0,2846.0,35.574999999999996
Optimized closest,0,10,25,↖ North/West,1,0,6.0,3.4545454545454546,1.0,4.454545454545454,2.272727272727273,2.4545454545454546,6398.727272727273,1.2727272727272727,0.01590909090909091
Optimized closest,0,10,25,↖ North/West,1,1,6.0,7.2727272727272725,1.0,8.272727272727273,4.181818181818182,6.818181818181818,6396.272727272727,3.727272727272727,0.046590909090909086
Optimized closest,0,10,25,↖ North/West,2,0,6.0,4.454545454545454,1.0,5.454545454545454,2.727272727272727,3.3636363636363638,6398.363636363636,1.6363636363636365,0.020454545454545454
Optimized closest,0,10,25,↖ North/West,2,1,6.0,6.909090909090909,1.0,7.909090909090909,4.0,6.2727272727272725,6396.727272727273,3.272727272727273,0.04090909090909091
Optimized closest,0,10,25,↖ North/West,6,0,59.09090909090909,150.45454545454547,1771.6363636363637,1922.090909090909,19.636363636363637,7.7272727272727275,4481.545454545455,1918.4545454545455,23.980681818181814
Optimized closest,0,10,25,↖ North/West,6,1,63.90909090909091,167.0,2015.2727272727273,2182.2727272727275,22.181818181818183,8.454545454545455,4220.636363636364,2179.3636363636365,27.24204545454546
Optimized closest,0,10,25,↗ North/East,1,0,6.0,3.3636363636363638,1.0,4.363636363636363,2.5454545454545454,2.5454545454545454,6399.0,1.0,0.0125
Optimized closest,0,10,25,↗ North/East,1,1,6.0,5.909090909090909,1.0,6.909090909090909,3.272727272727273,5.363636363636363,6396.636363636364,3.3636363636363638,0.042045454545454546
Optimized closest,0,10,25,↗ North/East,2,0,6.0,4.090909090909091,1.0,5.090909090909091,2.909090909090909,3.272727272727273,6398.636363636364,1.3636363636363635,0.017045454545454544
