truck_strategy,break_width,num_firetruck,max_speed,wind_dir,steps_to_extinguishment,placed_on_edges,Number_of_steps_to_ExtinguishFire,Number_of_extinguished_firecell,Number_of_burned_out_cell,Number_of_cells_on_fire,Maximum_growthrate_firecell_perstep,Maximum_extinguishedrate_firecell_perstep,Count_healthy_trees,Count_unhealthy_trees,Percentage_damaged_burnedtrees
Random movements,0,10,25,↙ South/West,2,1,100.45454545454545,13.636363636363637,3029.5454545454545,3043.181818181818,26.181818181818183,4.0,3356.818181818182,3043.181818181818,38.03977272727273
Random movements,0,10,25,↙ South/West,6,0,113.0909090909091,0.5454545454545454,3162.909090909091,3163.4545454545455,25.818181818181817,0.18181818181818182,3236.5454545454545,3163.4545454545455,39.54318181818182
Random movements,0,10,25,↙ South/West,6,1,88.81818181818181,0.0,2827.181818181818,2827.181818181818,23.545454545454547,0.0,3572.818181818182,2827.181818181818,35.33977272727273
Random movements,0,10,30,↖ North/West,1,0,106.45454545454545,19.636363636363637,3125.909090909091,3145.5454545454545,28.09090909090909,3.090909090909091,3274.090909090909,3125.909090909091,39.07386363636363
Random movements,0,10,30,↖ North/West,1,1,98.36363636363636,14.0,3035.2727272727275,3049.2727272727275,24.90909090909091,3.3636363636363638,3364.7272727272725,3035.2727272727275,37.940909090909095
Random movements,0,10,30,↖ North/West,2,0,98.0,24.363636363636363,2791.7272727272725,2816.090909090909,24.272727272727273,3.6363636363636362,3584.181818181818,2815.818181818182,35.19772727272727
Random movements,0,10,30,↖ North/West,2,1,110.72727272727273,18.181818181818183,3088.090909090909,3106.2727272727275,27.818181818181817,4.181818181818182,3293.7272727272725,3106.2727272727275,38.82840909090909
Random movements,0,10,30,↖ North/West,6,0,100.0,0.18181818181818182,3053.909090909091,3054.090909090909,26.181818181818183,0.18181818181818182,3345.909090909091,3054.090909090909,38.17613636363637
Random movements,0,10,30,↖ North/West,6,1,100.45454545454545,0.0,3054.6363636363635,3054.6363636363635,26.636363636363637,0.0,3345.3636363636365,3054.6363636363635,38.18295454545454
Random movements,0,10,30,↗ North/East,1,0,115.81818181818181,17.545454545454547,2957.5454545454545,2975.090909090909,27.272727272727273,3.3636363636363638,3442.4545454545455,2957.5454545454545,36.96931818181818
Random movements,0,10,30,↗ North/East,1,1,98.45454545454545,10.545454545454545,2860.090909090909,2870.6363636363635,24.0,4.454545454545454,3539.909090909091,2860.090909090909,35.75113636363636
