truck_strategy,break_width,num_firetruck,max_speed,wind_dir,steps_to_extinguish_1_cell,placed_on_edges,Number_of_steps_to_ExtinguishFire,Number_of_extinguished_firecell,Number_of_burned_out_cell,Number_of_cells_on_fire,Maximum_growthrate_firecell_perstep,Maximum_extinguishedrate_firecell_perstep,Count_healthy_trees,Count_unhealthy_trees,Percentage_damaged_burnedtrees
Indirect attack,0,50,25,↙ South/West,2,0,85.72727273,179.9090909,1935.181818,2115.090909,27.36363636,18.72727273,4462.090909,1937.909091,24.22386364
Indirect attack,0,50,25,↙ South/West,2,1,95.36363636,185.0909091,2027.818182,2212.909091,29.81818182,22.54545455,4372.181818,2027.818182,25.34772727
Indirect attack,0,50,25,↙ South/West,6,0,86.90909091,176.1818182,1764.181818,1940.363636,24.45454545,16.90909091,4634.818182,1765.181818,22.06477273
Indirect attack,0,50,25,↙ South/West,6,1,90,189.2727273,2053.727273,2243,30.72727273,23.72727273,4345.454545,2054.545455,25.68181818
Indirect attack,0,50,30,↖ North/West,1,0,69.45454545,136.1818182,1484.363636,1620.545455,23.54545455,17.63636364,4915.636364,1484.363636,18.55454545
Indirect attack,0,50,30,↖ North/West,1,1,86.90909091,173.4545455,2170.272727,2343.727273,30,18.90909091,4229.727273,2170.272727,27.12840909
Indirect attack,0,50,30,↖ North/West,2,0,76.36363636,148,1734.272727,1882.272727,24,16.36363636,4665.727273,1734.272727,21.67840909
Indirect attack,0,50,30,↖ North/West,2,1,90.09090909,177.7272727,2110.727273,2288.454545,29.90909091,20.36363636,4289.272727,2110.727273,26.38409091
Indirect attack,0,50,30,↖ North/West,6,0,86.36363636,169.9090909,1884.363636,2054.272727,25.81818182,18.45454545,4515.636364,1884.363636,23.55454545
Indirect attack,0,50,30,↖ North/West,6,1,94.54545455,179.2727273,2177.454545,2356.727273,28.90909091,18.81818182,4222.545455,2177.454545,27.21818182
Indirect attack,0,50,30,↗ North/East,1,0,91.63636364,169.8181818,2101.272727,2271.090909,24.27272727,17.90909091,4298.727273,2101.272727,26.26590909
Indirect attack,0,50,30,↗ North/East,1,1,85.36363636,171.9090909,2082.545455,2254.454545,29.90909091,18.81818182,4317.454545,2082.545455,26.03181818
Indirect attack,0,50,30,↗ North/East,2,0,87.18181818,152.4545455,1901.636364,2054.090909,24.18181818,15.72727273,4498.363636,1901.636364,23.77045455
Indirect attack,0,50,30,↗ North/East,2,1,78.90909091,171.0909091,2116.545455,2287.636364,29.54545455,19.45454545,4283.454545,2116.545455,26.45681818
Indirect attack,0,50,30,↗ North/East,6,0,87.81818182,172.7272727,1924.636364,2097.363636,26,15.90909091,4475.363636,1924.636364,24.05795455
Indirect attack,0,50,30,↗ North/East,6,1,84.36363636,175.3636364,2115.363636,2290.727273,28.36363636,20.18181818,4284.636364,2115.363636,26.44204545
Indirect attack,0,50,30,↘ South/East,1,0,96.81818182,174.7272727,2043,2217.727273,26.09090909,17.81818182,4357,2043,25.5375
Indirect attack,0,50,30,↘ South/East,1,1,86.45454545,173.7272727,2137.454545,2311.181818,28.63636364,19.72727273,4262.545455,2137.454545,26.71818182
Indirect attack,0,50,30,↘ South/East,2,0,71.81818182,154.8181818,1585.181818,1740,23.27272727,17.72727273,4814.818182,1585.181818,19.81477273
Indirect attack,0,50,30,↘ South/East,2,1,81.81818182,172.5454545,2115.545455,2288.090909,27.63636364,19.27272727,4284.454545,2115.545455,26.44431818
Indirect attack,0,50,30,↘ South/East,6,0,92.63636364,171,2142.454545,2313.454545,26.90909091,17.72727273,4257.272727,2142.727273,26.78409091
Indirect attack,0,50,30,↘ South/East,6,1,92.54545455,174.1818182,1941.363636,2115.545455,26.90909091,20.09090909,4458.636364,1941.363636,24.26704545
Indirect attack,0,50,30,↙ South/West,1,0,86.63636364,161.4545455,1930.454545,2091.909091,25.36363636,18.09090909,4469.545455,1930.454545,24.13068182
Indirect attack,0,50,30,↙ South/West,1,1,91.63636364,176.7272727,2115.181818,2291.909091,27.09090909,19.90909091,4284.818182,2115.181818,26.43977273
Indirect attack,0,50,30,↙ South/West,2,0,97.81818182,159.6363636,2195.363636,2355,26.18181818,18.81818182,4204.636364,2195.363636,27.44204545
Indirect attack,0,50,30,↙ South/West,2,1,90.18181818,177.5454545,2207.636364,2385.181818,30.90909091,19.90909091,4192.363636,2207.636364,27.59545455
Indirect attack,0,50,30,↙ South/West,6,0,95,170.8181818,2136.727273,2307.545455,25.81818182,16.36363636,4263.272727,2136.727273,26.70909091
Indirect attack,0,50,30,↙ South/West,6,1,91.72727273,174.3636364,2216,2390.363636,29.54545455,20.63636364,4184,2216,27.7
Indirect attack,1,10,15,↖ North/West,1,0,107.1818182,95.81818182,2879.272727,3075.090909,22.45454545,6.181818182,3471.636364,2928.363636,36.60454545
Indirect attack,1,10,15,↖ North/West,1,1,78.36363636,95.90909091,1632.636364,1828.545455,19.27272727,6.545454545,4734.090909,1665.909091,20.82386364
Indirect attack,1,10,15,↖ North/West,2,0,73.63636364,85.45454545,1525.818182,1711.272727,19.36363636,5.272727273,4834.545455,1565.454545,19.56818182
Indirect attack,1,10,15,↖ North/West,2,1,80.09090909,101.0909091,2115.909091,2317,23.27272727,5.181818182,4237.636364,2162.363636,27.02954545
Indirect attack,1,10,15,↖ North/West,6,0,90.72727273,82.27272727,1781.727273,1964,20.27272727,5.363636364,4591.909091,1808.090909,22.60113636
Indirect attack,1,10,15,↖ North/West,6,1,115,90.18181818,2805.363636,2995.545455,22.36363636,5.363636364,3557.636364,2842.363636,35.52954545
Indirect attack,1,10,15,↗ North/East,1,0,92,97.54545455,2090.272727,2287.818182,21.63636364,6.181818182,4273.090909,2126.909091,26.58636364
Indirect attack,1,10,15,↗ North/East,1,1,95,121.1818182,2005,2226.181818,18.72727273,5.454545455,4339.090909,2060.909091,25.76136364
Indirect attack,1,10,15,↗ North/East,2,0,96.09090909,78.72727273,2161.727273,2340.454545,19,4.818181818,4205.545455,2194.454545,27.43068182
Indirect attack,1,10,15,↗ North/East,2,1,89.90909091,121,2249.454545,2470.454545,21.63636364,7.363636364,4099.272727,2300.727273,28.75909091
Indirect attack,1,10,15,↗ North/East,6,0,127.8181818,76.90909091,3317.090909,3494,25.81818182,5.363636364,3036.181818,3363.818182,42.04772727
Indirect attack,1,10,15,↗ North/East,6,1,87.18181818,87.72727273,2472,2659.727273,19.54545455,5.454545455,3888,2512,31.4
Indirect attack,1,10,15,↘ South/East,1,0,95.81818182,130.0909091,2395.363636,2625.454545,24,6.545454545,3946.636364,2453.363636,30.66704545
Indirect attack,1,10,15,↘ South/East,1,1,71.90909091,107.0909091,2060,2267.090909,24.27272727,6.545454545,4303.181818,2096.818182,26.21022727
